run_id	strategy_requested	strategy_used	fallback_used	boundary_threshold	min_segment_seconds	max_segment_seconds	rms_weight	onset_weight	chroma_weight	timbre_weight	musical_segments	transcription_windows	candidate_boundary_count	candidate_density	fused_candidate_count	returned_candidate_count	accepted_boundary_count	candidate_confidence_min	candidate_confidence_max	candidate_confidence_mean	rejection_reason_counts	available_features	missing_features	top_candidate_features	successful_windows	failed_windows	total_note_on_count	manifest_path
Varud_-_Sigur_Ros_Valtari	None	fixed_with_context	True	None	None	None	None	None	None	None	7	7	0	None	None	None	0	None	None	None		None	None		2	0	2615	C:/Users/izzyo/ai-composer/music_brain/samples/segments/Varud_-_Sigur_Ros_Valtari/segments_manifest.json
20260521T163908864134_fixed_with_context	hybrid	fixed_with_context	True	None	None	None	None	None	None	None	7	7	0	None	None	None	0	None	None	None		None	None		0	0	0	C:/Users/izzyo/ai-composer/music_brain/samples/segments/Varud_-_Sigur_Ros_Valtari/20260521T163908864134_fixed_with_context/segments_manifest.json
20260521T164753517342_audio_structure_v1	audio_structure	audio_structure_v1	False	None	None	None	None	None	None	None	7	7	6	None	None	None	3	None	None	None		rms,onset_strength	chroma_change,timbre_change		0	0	0	C:/Users/izzyo/ai-composer/music_brain/samples/segments/Varud_-_Sigur_Ros_Valtari/20260521T164753517342_audio_structure_v1/segments_manifest.json
20260521T171256329037_audio_structure_v1	audio_structure	audio_structure_v1	False	None	None	None	None	None	None	None	7	7	6	None	None	None	1	None	None	None		rms,onset_strength,chroma_change,timbre_change,novelty_combined			0	0	0	C:/Users/izzyo/ai-composer/music_brain/samples/segments/Varud_-_Sigur_Ros_Valtari/20260521T171256329037_audio_structure_v1/segments_manifest.json
20260521T172827774704_audio_structure_v1	audio_structure	audio_structure_v1	False	0.55	30.0	90.0	0.2	0.3	0.25	0.25	7	7	6	None	None	None	1	None	None	None		rms,onset_strength,chroma_change,timbre_change,novelty_combined			0	0	0	C:/Users/izzyo/ai-composer/music_brain/samples/segments/Varud_-_Sigur_Ros_Valtari/20260521T172827774704_audio_structure_v1/segments_manifest.json
20260521T172829502376_audio_structure_v1	audio_structure	audio_structure_v1	False	0.45	30.0	90.0	0.2	0.3	0.25	0.25	7	7	6	None	None	None	1	None	None	None		rms,onset_strength,chroma_change,timbre_change,novelty_combined			0	0	0	C:/Users/izzyo/ai-composer/music_brain/samples/segments/Varud_-_Sigur_Ros_Valtari/20260521T172829502376_audio_structure_v1/segments_manifest.json
20260521T172830994948_audio_structure_v1	audio_structure	audio_structure_v1	False	0.35	30.0	90.0	0.2	0.3	0.25	0.25	7	7	6	None	None	None	1	None	None	None		rms,onset_strength,chroma_change,timbre_change,novelty_combined			0	0	0	C:/Users/izzyo/ai-composer/music_brain/samples/segments/Varud_-_Sigur_Ros_Valtari/20260521T172830994948_audio_structure_v1/segments_manifest.json
20260521T173506127446_audio_structure_v1	audio_structure	audio_structure_v1	False	0.55	30.0	90.0	0.2	0.3	0.25	0.25	7	7	6	None	None	None	1	0.16	0.560525	0.226754	accepted:1,fixed_interval_candidate:5	rms,onset_strength,chroma_change,timbre_change,novelty_combined		-[-],-[-],-[-]	0	0	0	C:/Users/izzyo/ai-composer/music_brain/samples/segments/Varud_-_Sigur_Ros_Valtari/20260521T173506127446_audio_structure_v1/segments_manifest.json
20260521T173508488296_audio_structure_v1	audio_structure	audio_structure_v1	False	0.45	30.0	90.0	0.2	0.3	0.25	0.25	7	7	6	None	None	None	1	0.16	0.560525	0.226754	accepted:1,fixed_interval_candidate:5	rms,onset_strength,chroma_change,timbre_change,novelty_combined		-[-],-[-],-[-]	0	0	0	C:/Users/izzyo/ai-composer/music_brain/samples/segments/Varud_-_Sigur_Ros_Valtari/20260521T173508488296_audio_structure_v1/segments_manifest.json
20260521T173510752126_audio_structure_v1	audio_structure	audio_structure_v1	False	0.35	30.0	90.0	0.2	0.3	0.25	0.25	7	7	6	None	None	None	1	0.16	0.560525	0.226754	accepted:1,fixed_interval_candidate:5	rms,onset_strength,chroma_change,timbre_change,novelty_combined		-[-],-[-],-[-]	0	0	0	C:/Users/izzyo/ai-composer/music_brain/samples/segments/Varud_-_Sigur_Ros_Valtari/20260521T173510752126_audio_structure_v1/segments_manifest.json
20260521T174126125504_audio_structure_v1	audio_structure	audio_structure_v1	False	0.25	20.0	90.0	0.1	0.15	0.4	0.35	7	7	6	None	None	None	1	0.16	0.56691	0.227818	accepted:1,fixed_interval_candidate:5	rms,onset_strength,chroma_change,timbre_change,novelty_combined		-[-],-[-],-[-]	0	0	0	C:/Users/izzyo/ai-composer/music_brain/samples/segments/Varud_-_Sigur_Ros_Valtari/20260521T174126125504_audio_structure_v1/segments_manifest.json
20260521T174127086675_audio_structure_v1	audio_structure	audio_structure_v1	False	0.35	20.0	90.0	0.1	0.15	0.4	0.35	7	7	6	None	None	None	1	0.16	0.56691	0.227818	accepted:1,fixed_interval_candidate:5	rms,onset_strength,chroma_change,timbre_change,novelty_combined		-[-],-[-],-[-]	0	0	0	C:/Users/izzyo/ai-composer/music_brain/samples/segments/Varud_-_Sigur_Ros_Valtari/20260521T174127086675_audio_structure_v1/segments_manifest.json
20260521T174128007244_audio_structure_v1	audio_structure	audio_structure_v1	False	0.45	20.0	90.0	0.1	0.15	0.4	0.35	7	7	6	None	None	None	1	0.16	0.56691	0.227818	accepted:1,fixed_interval_candidate:5	rms,onset_strength,chroma_change,timbre_change,novelty_combined		-[-],-[-],-[-]	0	0	0	C:/Users/izzyo/ai-composer/music_brain/samples/segments/Varud_-_Sigur_Ros_Valtari/20260521T174128007244_audio_structure_v1/segments_manifest.json
